data,dia_fechado,transacoes_batidas,transacoes_pendentes,valor_batido,valor_pendente
2025-04-01,False,0,151,0.0,5867.499999999999
2025-04-02,False,0,103,0.0,3288.139999999999
2025-04-03,False,0,99,0.0,4038.68
2025-04-04,False,0,144,0.0,6233.63
2025-04-05,False,0,103,0.0,5264.719999999999
2025-04-06,False,0,128,0.0,5039.56
2025-04-07,False,0,122,0.0,4388.4800000000005
2025-04-08,False,0,124,0.0,4444.379999999999
2025-04-09,False,0,129,0.0,4239.92
2025-04-10,False,0,115,0.0,3674.25
2025-04-11,False,0,100,0.0,4214.18
2025-04-12,False,0,126,0.0,5238.889999999999
2025-04-13,False,0,160,0.0,8232.69
2025-04-14,False,0,98,0.0,3803.87
2025-04-15,False,0,125,0.0,5136.509999999998
2025-04-16,False,0,115,0.0,4565.48
2025-04-17,False,0,204,0.0,8075.32
2025-04-18,False,0,315,0.0,14840.85
2025-04-19,False,0,162,0.0,10185.11
2025-04-20,False,0,175,0.0,8406.3
2025-04-21,False,0,566,0.0,29392.07
2025-04-22,False,0,202,0.0,8149.040000000001
2025-04-23,False,0,91,0.0,3451.5999999999995
2025-04-24,False,0,151,0.0,4637.68
2025-04-25,False,0,136,0.0,5807.040000000001
2025-04-26,False,0,104,0.0,5695.52
2025-04-27,False,0,167,0.0,6655.360000000001
